Player,Team_x,Season,Position_x,Minutes,Goals Added,Base Salary,Guaranteed Compensation
Oalex Anderson,SEA,2016,W,397,1.16,"$51,504","$51,504"
Chris Tierney,NER,2017,FB,1837,1.16,"$140,000","$148,333"
Chris Duvall,NYRB,2016,FB,2072,1.16,"$63,000","$63,000"
Aaron Kovar,LAFC,2018,W,575,1.15,"$69,458","$69,658"
Tommy Meyer,LAG,2014,CB,999,1.15,"$50,848","$64,598"
Matt Polster,CHI,2017,FB,1902,1.15,"$99,900","$114,900"
Andoni Iraola,NYC,2016,DM,2363,1.15,"$200,004","$200,004"
Tomás Martínez,HOU,2017,AM,561,1.15,"$315,000","$497,925"
Steve Zakuani,POR,2014,W,827,1.15,"$120,000","$120,000"
Brek Shea,ATL,2019,FB,1022,1.15,"$225,000","$225,000"
Josh Pérez,LAFC,2019,W,535,1.14,"$76,000","$76,000"
Connor Lade,NYRB,2015,FB,1538,1.14,"$60,638","$64,891"
Cordell Cato,SJE,2016,FB,1522,1.14,"$112,500","$114,167"
Calum Mallace,MTL,2015,DM,1938,1.14,"$60,000","$75,000"
Carlos Ascues,ORL,2018,CB,806,1.14,"$360,000","$391,500"
Patrice Bernier,MTL,2014,DM,1947,1.14,"$165,000","$205,000"
Sacha Kljestan,ORL,2019,AM,1533,1.14,"$1,025,000","$1,100,000"
Eriq Zavaleta,TOR,2019,CB,1116,1.14,"$275,004","$296,962"
Ballou Tabla,MTL,2017,W,1259,1.14,"$70,000","$79,000"
Hernán Grana,CLB,2015,FB,641,1.13,,
Michael de Leeuw,CHI,2016,ST,1555,1.13,"$450,000","$514,213"
Darren Mattocks,CIN,2019,ST,1394,1.13,"$520,000","$520,000"
Lawrence Olum,POR,2018,DM,1780,1.13,"$185,004","$200,004"
Tommy McNamara,CHV,2014,ST,492,1.13,"$48,500","$60,000"
Kyle Bekker,TOR,2014,CM,1217,1.13,"$51,150","$77,400"
Jonathan Spector,ORL,2017,CB,2352,1.13,"$549,996","$611,934"
Vytautas Andriuskevicius,POR,2016,FB,998,1.13,"$184,992","$204,992"
Jermaine Jones,NER,2014,DM,667,1.13,"$3,000,000","$3,252,500"
Bryan Róchez,ORL,2015,ST,343,1.12,"$200,000","$279,500"
Oswaldo Minda,CHV,2013,CM,1306,1.12,"$125,000","$143,750"
Shamit Shome,MTL,2019,CM,1785,1.12,"$100,000","$120,000"
Chris Duvall,NYRB,2014,FB,1734,1.12,"$36,504","$36,504"
Jordan Harvey,LAFC,2018,FB,2364,1.12,"$150,000","$150,000"
Antonio Nocerino,ORL,2017,CM,2398,1.12,"$800,000","$850,000"
Harrison Afful,CLB,2017,FB,1924,1.12,"$280,000","$296,667"
Alejandro Bedoya,PHI,2016,DM,912,1.11,"$1,100,004","$1,166,254"
Waylon Francis,CLB,2014,FB,2268,1.11,"$125,000","$153,875"
Javier Calle,NYC,2015,FB,592,1.11,"$200,000","$225,750"
Chris Duvall,NYRB,2015,FB,1382,1.11,"$60,000","$60,000"
Gilberto,CHI,2016,ST,685,1.1,,
Kyle Fisher,MTL,2017,CB,1596,1.1,"$53,004","$53,004"
Robbie Rogers,LAG,2016,FB,1808,1.1,"$220,000","$228,500"
Yordany Alvarez,RSL,2013,DM,1090,1.1,"$46,500","$46,500"
Jack McInerney,"MTL, CLB",2015,ST,1456,1.1,"$270,000","$334,167"
Fredrik Gulbrandsen,NYRB,2017,ST,420,1.1,,
Boniek García,HOU,2017,CM,1280,1.1,"$225,000","$247,500"
Nicolas Hasler,"CHI, TOR",2018,FB,1862,1.1,"$132,000","$147,667"
Lawrence Olum,SKC,2013,DM,1118,1.1,"$46,500","$46,500"
Jonny Steele,NYRB,2014,W,703,1.1,,
Eric Remedi,ATL,2019,DM,2223,1.1,"$300,000","$300,000"
Michael Lahoud,PHI,2015,DM,1333,1.09,"$108,900","$112,233"
Theo Bair,VAN,2019,AM,909,1.09,"$56,250","$76,250"
Wyatt Omsberg,MIN,2018,CB,437,1.09,"$54,500","$54,500"
Tony Tchani,CHI,2018,CM,914,1.09,,
Andreu Fontàs,SKC,2019,CB,1074,1.09,"$1,050,000","$1,050,000"
Sunny,RSL,2018,DM,1576,1.09,"$275,000","$288,000"
Benjamin Speas,CLB,2014,AM,755,1.09,"$65,100","$65,100"
Axel Sjöberg,COL,2015,CB,1360,1.09,"$60,000","$75,000"
Julian Araujo,LAG,2019,FB,1004,1.09,"$80,000","$86,250"
Waylon Francis,CLB,2017,FB,921,1.08,"$227,500","$251,875"
Mika Väyrynen,LAG,2015,CM,869,1.08,"$204,996","$227,496"
Rolf Feltscher,LAG,2018,FB,1395,1.08,"$240,000","$270,000"
Khiry Shelton,SKC,2018,ST,1499,1.08,"$102,245","$119,745"
Jerome Thiesson,MIN,2018,FB,1216,1.08,"$180,000","$219,167"
Patrick Mullins,NER,2014,ST,1307,1.08,"$70,000","$100,000"
Gershon Koffie,VAN,2015,DM,2165,1.08,"$230,000","$241,000"
Erick Torres,HOU,2016,ST,454,1.07,"$575,000","$590,000"
Jonathan Campbell,CHI,2018,CB,1108,1.07,"$120,175","$128,300"
Artur,CLB,2017,DM,1837,1.07,"$80,004","$99,879"
Liam Fraser,TOR,2019,DM,887,1.07,"$70,875","$75,875"
Handwalla Bwana,SEA,2018,W,541,1.07,"$54,500","$54,500"
Ethan White,PHI,2015,CB,1312,1.06,"$125,000","$125,000"
Kofi Sarkodie,SJE,2016,FB,1115,1.06,"$62,500","$62,500"
Eric Alexander,HOU,2017,DM,944,1.06,"$190,000","$203,750"
Rudy Camacho,MTL,2018,CB,1697,1.06,"$650,000","$699,153"
Joey Calistri,CHI,2016,W,431,1.06,"$51,500","$51,500"
Alejandro Fuenmayor,HOU,2019,CB,769,1.06,"$145,008","$172,508"
Andrés Imperiale,SJE,2016,CB,941,1.06,"$85,000","$87,500"
Jordy Delem,SEA,2019,DM,1591,1.05,"$70,875","$70,875"
Shaun Francis,SJE,2015,FB,1792,1.05,"$60,000","$62,940"
Brent Kallman,MIN,2017,CB,2097,1.05,"$65,004","$68,296"
Alan Gordon,SJE,2013,ST,1558,1.05,"$175,000","$196,667"
Johan Venegas,MIN,2017,AM,1358,1.05,"$215,000","$227,500"
Eric Brunner,HOU,2013,CB,971,1.05,"$120,000","$120,625"
Brian Carroll,PHI,2014,DM,1594,1.05,"$185,220","$185,220"
Pedro Ribeiro,PHI,2014,ST,394,1.05,"$36,504","$36,504"
Derek Cornelius,VAN,2019,CB,1560,1.05,"$100,000","$111,912"
Víctor Bernárdez,SJE,2013,CB,2418,1.04,"$100,008","$100,008"
Khiry Shelton,NYC,2015,W,923,1.04,"$70,000","$87,500"
Kevin Garcia,HOU,2018,CB,1219,1.04,"$68,915","$68,915"
Walker Zimmerman,FCD,2017,CB,1743,1.04,"$205,000","$205,000"
Marvin Chávez,SJE,2013,W,1127,1.04,"$175,000","$175,000"
Brandt Bronico,CHI,2018,DM,1667,1.04,"$68,254","$68,254"
Vincent Nogueira,PHI,2016,DM,726,1.04,,
Victor Ulloa,FCD,2018,DM,2362,1.04,"$180,000","$182,500"
Jared Jeffrey,DCU,2013,CM,844,1.03,"$54,000","$60,200"
Jacori Hayes,FCD,2018,DM,1115,1.03,"$68,250","$75,750"
Benoit Cheyrou,TOR,2017,DM,689,1.03,"$65,004","$65,004"
Micheal Azira,"MTL, COL",2018,CM,1095,1.03,"$125,000","$131,625"
Armando Cooper,TOR,2016,CM,422,1.03,"$180,000","$193,333"
Mikaël Silvestre,POR,2013,CB,748,1.03,"$180,000","$186,667"
Benjamin Angoua,NER,2017,CB,2489,1.03,"$600,000","$654,333"
Lucas Ontivero,MTL,2016,W,1052,1.03,"$380,000","$440,000"
Mauro Manotas,HOU,2016,ST,1173,1.03,"$85,000","$85,000"
Brian Rodríguez,LAFC,2019,W,415,1.03,"$700,000","$1,039,800"
Luis Solignac,COL,2015,ST,1315,1.02,"$65,004","$65,004"
Calum Mallace,MTL,2016,DM,957,1.02,"$100,000","$116,250"
Santiago Patiño,ORL,2019,ST,400,1.02,"$72,500","$76,781"
Antonio Nocerino,ORL,2016,DM,1617,1.02,"$600,000","$650,000"
Marcus Epps,PHI,2018,W,657,1.02,"$55,654","$55,654"
Danny O'Rourke,POR,2014,CB,1060,1.02,"$55,008","$55,008"
Adrian Winter,ORL,2016,W,1042,1.02,,
Matías Sánchez,CLB,2013,CM,879,1.02,"$190,000","$230,000"
Antonio Mlinar Delamea,NER,2018,CB,1655,1.02,"$400,008","$400,008"
Justin Braun,TOR,2013,ST,886,1.02,"$112,200","$114,700"
Markus Halsti,DCU,2015,CM,1007,1.02,"$275,000","$336,833"
Anatole Bertrand-Abang,NYRB,2015,ST,455,1.01,"$50,000","$50,000"
Steven Beitashour,VAN,2015,FB,2624,1.01,"$190,000","$197,167"
Sean Davis,NYRB,2015,DM,504,1.01,"$80,000","$97,500"
Laurent Ciman,TOR,2019,CB,1389,1.01,"$400,000","$435,625"
Armando Lozano,NYRB,2014,CB,1484,1.01,"$120,000","$130,000"
Atiba Harris,FCD,2017,CB,2235,1.01,"$155,004","$155,004"
Wandrille Lefevre,MTL,2016,CB,1204,1.01,"$63,000","$63,000"
Steven Beitashour,LAFC,2019,FB,2046,1.0,"$275,000","$298,375"
Álvaro Fernández,SEA,2016,W,563,1.0,"$264,000","$294,000"
Dylan Remick,SEA,2015,FB,1723,1.0,"$60,000","$60,000"
Soni Mustivar,SKC,2015,DM,1991,1.0,"$250,000","$250,000"
Daneil Cyrus,CHI,2015,CB,562,1.0,"$72,000","$77,833"
Cam Weaver,HOU,2013,ST,821,1.0,"$100,000","$108,407"
Angeliño,NYC,2015,FB,1076,1.0,"$60,000","$60,000"
Dylan Remick,SEA,2014,FB,750,1.0,"$36,500","$36,500"
Jordan Hamilton,TOR,2016,ST,975,0.99,"$66,150","$78,650"
Taylor Kemp,DCU,2014,FB,1177,0.99,"$36,504","$36,504"
Cristian Roldan,SEA,2015,W,1216,0.99,"$80,000","$102,000"
Aaron Maund,RSL,2015,CB,2138,0.99,"$60,000","$63,450"
José Gonçalves,NER,2016,CB,2727,0.99,"$450,000","$479,375"
Zoltán Stieber,DCU,2017,W,564,0.99,"$100,000","$100,000"
Aníbal Godoy,SJE,2015,CM,960,0.99,"$204,000","$204,000"
Matías Laba,TOR,2013,CM,1522,0.99,"$200,000","$200,000"
Jimmy Ockford,SJE,2018,CB,1192,0.98,"$67,500","$67,500"
Jimmy Medranda,SKC,2018,FB,801,0.98,"$140,004","$140,004"
Scott Sutter,VAN,2019,FB,1108,0.98,"$155,000","$170,177"
Claude Dielna,NER,2018,CB,1444,0.98,"$780,000","$909,861"
Maxim Tissot,MTL,2014,W,861,0.98,"$48,500","$48,500"
Robin Lod,MIN,2019,W,638,0.97,"$849,996","$952,496"
Leonel Miranda,HOU,2015,W,1103,0.97,"$60,000","$60,000"
Bradley Diallo,LAG,2017,FB,1504,0.97,"$65,004","$65,004"
Elliot Collier,CHI,2018,W,1002,0.97,"$54,500","$54,500"
Gonzalo Segares,CHI,2014,FB,1876,0.97,"$160,000","$173,333"
Russell Teibert,VAN,2015,DM,1470,0.97,"$100,000","$167,500"
Maynor Figueroa,FCD,2018,CB,1146,0.97,"$240,000","$250,000"
Jaime Castrillon,COL,2013,W,423,0.97,"$46,500","$46,500"
José Aja,VAN,2018,CB,1670,0.97,"$240,000","$240,000"
Henok Goitom,SJE,2016,ST,469,0.97,"$682,800","$729,300"
Servando Carrasco,"ORL, SKC",2015,DM,1530,0.97,"$80,750","$85,375"
Donny Toia,MTL,2016,FB,1479,0.97,"$67,500","$67,500"
Carlos Borja,CHV,2013,FB,2189,0.96,"$46,500","$46,500"
John Goossens,CHI,2016,W,1385,0.96,"$200,000","$203,333"
Ethan White,DCU,2013,CB,1165,0.96,"$75,000","$91,000"
Chad Barrett,SEA,2014,ST,990,0.96,"$80,000","$85,000"
Maximiliano Urruti,POR,2014,ST,1332,0.96,"$200,000","$200,000"
Kevin Ellis,"CHI, DCU",2018,FB,1721,0.96,"$150,000","$158,333"
Diego Rubio,SKC,2018,ST,890,0.96,"$250,000","$266,875"
Abdoulie Mansally,HOU,2016,FB,630,0.96,"$77,500","$84,000"
Alejandro Fuenmayor,HOU,2018,CB,1955,0.95,"$85,008","$112,508"
Cristian Higuita,ORL,2019,CM,702,0.95,"$474,996","$611,663"
Dairon Asprilla,POR,2019,W,627,0.95,"$200,000","$213,750"
Arturo Álvarez,CHI,2017,W,1203,0.95,"$135,000","$142,500"
Andy Dorman,NER,2013,CM,458,0.95,"$125,000","$125,000"
Kellyn Acosta,FCD,2014,FB,928,0.95,"$55,000","$79,000"
Jared Jeffrey,DCU,2017,DM,1755,0.95,"$105,000","$115,000"
Rob Vincent,DCU,2016,DM,1253,0.95,"$62,508","$62,508"
Damien Perquis,TOR,2016,CB,1061,0.95,,
Nick Hagglund,TOR,2017,CB,1213,0.95,"$100,008","$109,633"
Damien Perrinelle,NYRB,2017,CB,2143,0.95,"$175,008","$175,008"
Eric Alexander,MTL,2015,DM,970,0.95,"$140,000","$153,750"
Paul Arriola,DCU,2017,W,985,0.94,"$336,000","$350,000"
Léo Pereira,ORL,2017,CB,873,0.94,"$53,004","$53,004"
Jonathan Mensah,CLB,2017,CB,2331,0.94,"$750,000","$844,000"
Sam Cronin,"MIN, COL",2017,DM,1955,0.94,"$300,000","$324,750"
James Riley,DCU,2013,FB,1879,0.94,"$140,000","$145,750"
Charles Eloundou,COL,2015,W,397,0.94,"$60,000","$65,000"
Blake Smith,MTL,2013,W,378,0.94,"$46,500","$80,250"
Franco Escobar,ATL,2018,FB,1944,0.93,"$250,008","$250,008"
Joao Plata,RSL,2013,ST,1781,0.93,"$60,000","$60,000"
Shaun Wright-Phillips,NYRB,2015,W,353,0.93,"$116,004","$145,704"
Leonel Miranda,HOU,2016,W,555,0.93,,
Julian Büscher,DCU,2016,CM,695,0.93,"$70,000","$84,700"
Jacob Peterson,SKC,2014,W,1407,0.93,"$110,000","$114,833"
Chris McCann,ATL,2017,FB,1077,0.93,"$540,000","$568,000"
Devon Sandoval,RSL,2015,ST,1773,0.93,"$60,000","$60,000"
Anton Walkes,ATL,2017,FB,1653,0.93,"$53,004","$53,004"
Larrys Mabiala,POR,2019,CB,2111,0.92,"$750,000","$793,333"
Bobby Boswell,"ATL, DCU",2017,CB,964,0.92,"$260,000","$260,000"
Andrea Pirlo,NYC,2017,DM,1142,0.92,"$5,600,000","$5,915,690"
Steven Beitashour,TOR,2017,FB,1715,0.92,"$250,000","$264,000"
Jacob Peterson,SKC,2016,W,1616,0.92,"$137,750","$144,625"
Clint Dempsey,SEA,2018,AM,996,0.92,,
Carlos Valdés,PHI,2014,CB,751,0.92,"$295,000","$295,000"
Zach Scott,SEA,2016,CB,962,0.92,"$62,500","$62,500"
Christian Ramirez,"MIN, LAFC",2018,ST,1771,0.92,"$575,000","$641,250"
Eric Ayuk,PHI,2015,W,1446,0.92,"$50,000","$50,000"
Josh Williams,"NYC, TOR",2015,CB,1612,0.92,"$125,000","$125,000"
Brandon Vincent,CHI,2018,FB,3065,0.92,"$122,375","$144,250"
Masato Kudo,VAN,2016,ST,954,0.92,"$310,000","$370,000"
Sainey Nyassi,DCU,2013,W,744,0.91,"$88,200","$94,950"
Jeremy Brockie,TOR,2013,ST,1166,0.91,,
Aaron Schoenfeld,CLB,2015,ST,300,0.91,"$60,000","$60,000"
Chris Klute,CLB,2015,FB,908,0.91,"$82,500","$87,802"
Héctor Jiménez,CLB,2015,FB,1222,0.91,"$90,000","$90,000"
Romario Ibarra,MIN,2018,W,320,0.91,"$500,000","$546,250"
Jalil Anibaba,NER,2018,CB,2949,0.91,"$90,000","$90,000"
Devon Sandoval,RSL,2013,ST,965,0.91,"$35,125","$35,125"
Samuel Piette,MTL,2017,DM,1037,0.91,"$90,000","$99,234"
Ben Zemanski,POR,2016,DM,1092,0.91,"$85,000","$89,000"
A.J. DeLaGarza,HOU,2019,FB,2192,0.9,"$250,000","$253,750"
Mason Toye,MIN,2018,ST,444,0.9,"$125,000","$178,000"
Ambroise Oyongo,NYRB,2014,FB,1132,0.9,"$36,500","$36,500"
Matt Polster,CHI,2015,CM,2600,0.9,"$60,000","$75,000"
Josh Williams,CLB,2019,CB,1398,0.9,"$215,000","$215,000"
Soony Saad,SKC,2013,W,1469,0.9,"$46,500","$46,500"
Adam Nemec,NYC,2015,ST,617,0.9,,
Tommy Thompson,SJE,2015,CM,559,0.9,"$140,000","$145,000"
Ryan Finley,CLB,2013,ST,514,0.9,"$46,500","$74,000"
Marco Donadel,MTL,2017,DM,1523,0.9,"$72,000","$257,328"
Nana Attakora,SJE,2013,CB,718,0.89,"$61,665","$61,665"
Chad Barson,CLB,2013,FB,1732,0.89,"$46,500","$46,500"
Jason Johnson,CHI,2015,ST,713,0.89,"$90,000","$131,000"
Ben Zemanski,POR,2013,CM,1146,0.89,"$73,500","$76,000"
Sal Zizzo,NYRB,2016,FB,2116,0.89,"$105,000","$105,000"
Héctor Jiménez,CLB,2017,FB,1464,0.89,"$150,000","$150,000"
João Pedro,LAG,2017,DM,2488,0.89,"$120,000","$141,000"
Justen Glad,RSL,2015,CB,595,0.89,"$60,000","$71,000"
Sam Nicholson,MIN,2017,W,695,0.88,"$235,008","$281,456"
Jared Watts,COL,2015,CB,1141,0.88,"$60,000","$60,000"
Robbie Rogers,LAG,2013,W,638,0.88,"$90,000","$90,000"
David Guzmán,"POR, CLB",2019,DM,1633,0.88,"$320,000","$340,000"
Ambroise Oyongo,MTL,2017,FB,1073,0.88,"$100,000","$100,000"
Eric Gehrig,CHI,2015,CB,2375,0.88,"$95,000","$100,833"
Alain Rochat,"VAN, DCU",2013,FB,1481,0.88,,
Tony Alfaro,SEA,2017,CB,885,0.88,"$54,075","$54,075"
Soni Mustivar,SKC,2016,DM,2270,0.88,"$200,000","$200,000"
Arturo Álvarez,HOU,2018,W,470,0.88,"$150,000","$157,500"
Warren Creavalle,"TOR, HOU",2014,FB,1622,0.88,"$90,000","$100,500"
Alvas Powell,POR,2013,FB,418,0.88,"$35,400","$35,400"
Michael Mancienne,NER,2018,CB,980,0.87,"$1,284,768","$1,370,268"
Baggio Husidic,LAG,2016,DM,1721,0.87,"$150,000","$150,000"
Leo Fernandes,PHI,2016,W,316,0.87,"$63,000","$63,000"
Bobby Burling,COL,2016,CB,1526,0.87,"$110,000","$116,000"
Mauro Rosales,FCD,2016,W,667,0.87,"$62,500","$62,500"
George Fochive,POR,2015,DM,739,0.87,"$50,000","$50,000"
Mikey Lopez,NYC,2016,CM,769,0.87,"$51,500","$51,500"
Cole Bassett,COL,2019,CM,1155,0.87,"$75,000","$84,000"
Nouhou Tolo,SEA,2018,FB,2211,0.87,"$54,500","$54,500"
Armando Cooper,TOR,2017,CM,995,0.86,"$189,000","$202,333"
Tommy Redding,ORL,2016,CB,1479,0.86,"$95,000","$102,500"
Daigo Kobayashi,NER,2015,DM,1225,0.86,"$135,000","$146,667"
Keegan Rosenberry,PHI,2017,FB,1144,0.86,"$104,500","$110,313"
Michael Petrasso,MTL,2018,FB,867,0.86,"$155,004","$168,129"
DeJuan Jones,NER,2019,FB,1452,0.85,"$56,250","$56,250"
Servando Carrasco,LAG,2018,CM,1115,0.85,"$67,500","$67,500"
Kortne Ford,COL,2018,CB,1240,0.85,"$82,500","$89,500"
Jeff Parke,DCU,2014,CB,1259,0.85,"$215,000","$235,500"
Romario Ibarra,MIN,2019,ST,420,0.85,"$500,000","$546,250"
Mauricio Pereyra,ORL,2019,CM,433,0.85,"$960,000","$1,078,000"
Amro Tarek,NYRB,2019,CB,1614,0.85,"$150,000","$156,250"
Alexander López,HOU,2015,W,1017,0.85,"$115,500","$135,500"
Saad Abdul-Salaam,SKC,2017,FB,998,0.85,"$96,800","$110,550"
Eloi Amagat,NYC,2018,CM,468,0.85,"$240,000","$261,250"
Saad Abdul-Salaam,SEA,2019,FB,1214,0.84,"$70,250","$70,250"
Zarek Valentin,POR,2019,FB,1813,0.84,"$160,000","$160,000"
Roy Miller,NYRB,2013,FB,1483,0.84,"$123,745","$123,745"
Nick Lima,SJE,2017,FB,1944,0.84,"$80,004","$86,208"
Michael Harrington,COL,2015,FB,1364,0.84,"$130,000","$130,000"
David Arshakyan,CHI,2016,ST,366,0.84,"$120,000","$142,850"
Alex Crognale,CLB,2017,CB,1164,0.84,"$84,996","$84,996"
Dominic Oduro,MTL,2017,W,1555,0.84,"$330,000","$330,000"
Frankie Amaya,CIN,2019,CM,1349,0.84,"$110,000","$172,000"
Leonardo,HOU,2017,CB,2844,0.84,"$140,004","$147,671"
Joao Plata,RSL,2019,W,407,0.84,"$725,004","$856,254"
Jozy Altidore,TOR,2018,ST,931,0.84,"$5,000,000","$5,000,000"
Samuel Piette,MTL,2019,DM,2429,0.83,"$135,000","$143,159"
Rafael Ramos,ORL,2016,FB,1103,0.83,"$96,000","$96,000"
Magnus Wolff Eikrem,SEA,2018,W,676,0.83,,
Rolando Escobar,FCD,2015,ST,467,0.83,"$180,000","$185,000"
Michael Parkhurst,ATL,2019,FB,1584,0.83,"$300,000","$300,000"
Mix Diskerud,NYC,2016,CM,878,0.83,"$761,250","$761,250"
David Horst,HOU,2014,CB,2856,0.83,"$70,000","$72,750"
Jacob Peterson,ATL,2017,W,215,0.83,"$165,300","$172,550"
Jonathan Campbell,SEA,2019,CB,388,0.83,"$70,250","$70,250"
Eric Brunner,HOU,2014,CB,331,0.82,"$130,000","$130,625"
Justin Hoyte,CIN,2019,FB,1619,0.82,"$70,250","$70,250"
Shane O'Neill,ORL,2019,CB,939,0.82,"$125,000","$139,500"
Carlos Salcedo,RSL,2014,CB,878,0.82,"$48,500","$48,500"
Andoni Iraola,NYC,2015,FB,816,0.82,"$200,004","$200,004"
Danny Wilson,COL,2019,DM,1470,0.82,"$500,000","$540,000"
Jason Hernandez,NYC,2016,CB,2472,0.82,"$200,000","$210,000"
Marlon Hairston,COL,2017,W,2810,0.82,"$110,004","$110,004"
Fabian Herbers,PHI,2018,W,471,0.82,"$100,008","$100,008"
Jason Hernandez,SJE,2014,CB,1870,0.81,"$210,000","$213,333"
Jared Watts,COL,2014,CM,1229,0.81,"$36,500","$36,500"
Carlos Fierro,SJE,2019,W,266,0.81,"$660,000","$718,800"
Seth Sinovic,SKC,2017,FB,3103,0.81,"$125,000","$132,667"
Hassoun Camara,MTL,2017,FB,1456,0.81,"$255,000","$255,000"
Pablo Ruiz,RSL,2018,FB,592,0.81,"$180,000","$201,000"
Erik Hurtado,VAN,2018,ST,559,0.81,"$150,000","$156,250"
Kemar Lawrence,NYRB,2018,FB,2661,0.8,"$150,000","$255,600"
Molham Babouli,TOR,2016,ST,742,0.8,"$51,500","$51,500"
Bright Dike,TOR,2013,ST,457,0.8,"$57,750","$60,688"
Alexi Gómez,MIN,2018,FB,1430,0.8,"$300,000","$339,450"
Leonardo González,SEA,2015,FB,797,0.8,"$165,000","$165,000"
Lovel Palmer,RSL,2013,FB,1311,0.79,"$67,000","$71,500"
Handwalla Bwana,SEA,2019,W,659,0.79,"$57,225","$57,225"
Tom Heinemann,VAN,2013,ST,359,0.79,"$51,975","$51,975"
Chad Barson,CLB,2014,FB,840,0.79,"$48,825","$48,825"
Russell Teibert,VAN,2017,DM,791,0.79,"$126,500","$194,000"
Ty Harden,SJE,2014,CB,1334,0.79,"$68,250","$71,665"
Josue Soto,CHV,2013,FB,1259,0.79,"$35,125","$35,125"
Jaylin Lindsey,SKC,2018,FB,604,0.79,"$54,504","$67,504"
Drew Moor,COL,2015,FB,2147,0.79,"$258,500","$270,500"
Daniele Paponi,MTL,2013,ST,882,0.78,"$72,000","$87,000"
Bobby Convey,"SKC, TOR",2013,W,2037,0.78,"$200,000","$215,000"
Andrew Gutman,CIN,2019,FB,537,0.78,"$100,000","$100,000"
Yohan Croizet,SKC,2019,ST,1220,0.78,,
Hérculez Gómez,SEA,2016,W,935,0.78,"$62,500","$62,500"
Victor Giro,VAN,2019,W,907,0.78,"$105,000","$110,313"
Matthew Watson,CHI,2015,CM,731,0.77,"$80,620","$91,689"
Eduardo Sosa,CLB,2018,AM,443,0.77,"$100,000","$120,200"
Sean Okoli,NYC,2017,ST,500,0.77,"$53,000","$53,000"
Chad Barrett,SJE,2016,ST,639,0.77,"$90,000","$95,500"
Jordan Hamilton,TOR,2017,ST,184,0.77,"$69,458","$81,958"
Victor Ulloa,FCD,2017,DM,1355,0.77,"$150,000","$152,500"
Ebenezer Ofori,NYC,2019,CM,1414,0.77,"$325,000","$400,000"
Péguy Luyindula,NYRB,2013,ST,985,0.76,"$80,000","$80,000"
Carlos Gruezo,FCD,2016,DM,2402,0.76,"$450,000","$686,500"
Miguel Ibarra,MIN,2017,W,1923,0.76,"$290,004","$322,326"
Hernán Bernardello,MTL,2014,DM,896,0.76,,
Jordan Allen,RSL,2016,W,1230,0.76,"$100,000","$110,000"
Russell Teibert,VAN,2018,CM,1786,0.76,"$140,000","$160,000"
Artur,CLB,2019,DM,2702,0.76,"$360,000","$411,633"
Brent Kallman,MIN,2018,CB,2161,0.76,"$82,500","$85,792"
Michael Boxall,MIN,2017,CB,1166,0.76,"$225,000","$242,333"
Norberto Paparatto,POR,2015,CB,487,0.76,"$120,000","$120,000"
Jack Jewsbury,POR,2015,DM,1861,0.76,"$120,000","$137,500"
Ike Opara,SKC,2013,CB,1529,0.76,"$90,000","$96,250"
Hernán Bernardello,MTL,2013,CM,670,0.76,"$250,008","$250,008"
Ashley Cole,LAG,2017,FB,2707,0.76,"$350,000","$377,625"
Russell Canouse,DCU,2017,DM,930,0.75,"$65,000","$65,000"
Mikey Ambrose,ATL,2018,FB,795,0.75,"$68,906","$68,906"
Dominique Badji,COL,2015,ST,879,0.75,"$50,000","$50,000"
Michael Farfan,DCU,2015,W,740,0.75,"$120,000","$120,000"
Walker Zimmerman,FCD,2015,CB,1209,0.75,"$100,000","$180,100"
Oniel Fisher,SEA,2015,FB,941,0.75,"$50,000","$50,000"
Greg Garza,CIN,2019,FB,1000,0.75,"$270,000","$270,000"
Patrick Ianni,CHI,2014,CB,1100,0.75,"$150,000","$150,000"
Kellyn Acosta,FCD,2013,FB,1083,0.74,"$46,500","$70,500"
Greg Cochrane,LAG,2013,FB,919,0.74,"$35,125","$35,125"
A.J. Soares,NER,2013,CB,1604,0.74,"$103,345","$143,345"
Botond Baráth,SKC,2019,CB,1917,0.74,"$250,000","$297,333"
Nick Hagglund,TOR,2016,CB,944,0.74,"$63,000","$63,000"
Caleb Calvert,COL,2017,ST,440,0.74,"$100,000","$107,500"
Michael Salazar,MTL,2016,W,794,0.74,"$51,492","$51,492"
Lass Bangoura,VAN,2019,W,704,0.74,"$100,000","$100,000"
Aaron Long,NYRB,2017,CB,2889,0.74,"$65,000","$65,000"
Carlos Carmona,ATL,2017,DM,2897,0.74,"$675,000","$725,000"
Benji Joya,CHI,2014,W,697,0.74,"$48,504","$53,504"
Omar González,TOR,2019,CB,1379,0.74,"$918,000","$1,193,936"
Tommy Thompson,SJE,2016,CM,905,0.74,"$150,000","$155,000"
Agustín Viana,CLB,2013,FB,1613,0.74,"$105,000","$131,667"
Steve Neumann,NER,2014,W,668,0.74,"$65,000","$86,250"
Andreas Ivan,NYRB,2019,W,560,0.73,,
Eric Miller,MTL,2015,FB,566,0.73,"$60,375","$71,375"
Jordan Allen,RSL,2015,W,1202,0.73,"$80,000","$90,000"
Warren Creavalle,PHI,2018,DM,789,0.73,"$140,000","$153,000"
Martin Ponce,CHV,2013,CM,201,0.73,,
Perry Kitchen,LAG,2019,DM,626,0.73,"$450,000","$474,167"
Darwin Cerén,HOU,2019,DM,613,0.73,"$300,000","$349,375"
DaMarcus Beasley,HOU,2019,FB,1129,0.73,"$275,000","$275,000"
